campaign_key,campaign_id,campaign_name,campaign_type,start_date,end_date,budget
1,CAMPAIGN0001,Campaign 1,TV,2019-01-01,2019-02-22,37518.5
2,CAMPAIGN0002,Campaign 2,Billboard,2019-12-05,2020-01-14,25416.75
3,CAMPAIGN0003,Campaign 3,Social Media,2020-11-23,2020-12-02,39080.8
4,CAMPAIGN0004,Campaign 4,Email,2021-05-23,2021-06-15,42078.5
5,CAMPAIGN0005,Campaign 5,Radio,2022-03-18,2022-04-18,10091.78
6,CAMPAIGN0006,Campaign 6,Radio,2022-03-24,2022-04-02,42633.0
7,CAMPAIGN0007,Campaign 7,Radio,2021-10-26,2021-12-16,17259.76
8,CAMPAIGN0008,Campaign 8,Radio,2020-10-21,2020-12-08,22753.28
9,CAMPAIGN0009,Campaign 9,Social Media,2019-04-14,2019-05-08,31745.02
10,CAMPAIGN0010,Campaign 10,Email,2020-10-13,2020-10-22,43409.17
11,CAMPAIGN0011,Campaign 11,Radio,2021-09-13,2021-11-08,43704.24
12,CAMPAIGN0012,Campaign 12,Billboard,2020-06-28,2020-08-25,17858.37
13,CAMPAIGN0013,Campaign 13,Radio,2019-10-01,2019-11-25,19674.66
14,CAMPAIGN0014,Campaign 14,Radio,2020-05-07,2020-07-02,28638.75
15,CAMPAIGN0015,Campaign 15,Email,2022-01-14,2022-02-15,47142.5
16,CAMPAIGN0016,Campaign 16,Radio,2022-11-25,2023-01-13,36952.83
17,CAMPAIGN0017,Campaign 17,TV,2022-10-27,2022-12-18,30608.25
18,CAMPAIGN0018,Campaign 18,Email,2019-10-19,2019-11-24,21980.83
19,CAMPAIGN0019,Campaign 19,Radio,2020-04-13,2020-06-07,34393.11
20,CAMPAIGN0020,Campaign 20,Social Media,2020-05-09,2020-05-24,31081.78
21,CAMPAIGN0021,Campaign 21,Email,2020-03-11,2020-04-24,15954.97
22,CAMPAIGN0022,Campaign 22,Email,2019-08-04,2019-09-08,40479.84
23,CAMPAIGN0023,Campaign 23,Billboard,2020-07-20,2020-09-16,15006.9
24,CAMPAIGN0024,Campaign 24,Social Media,2020-02-22,2020-03-22,9708.41
25,CAMPAIGN0025,Campaign 25,Email,2019-06-13,2019-07-29,41696.21
26,CAMPAIGN0026,Campaign 26,Billboard,2020-01-01,2020-01-21,27448.99
27,CAMPAIGN0027,Campaign 27,Radio,2019-04-22,2019-05-23,6535.87
28,CAMPAIGN0028,Campaign 28,Email,2022-09-28,2022-11-16,48490.59
29,CAMPAIGN0029,Campaign 29,TV,2019-01-25,2019-03-06,34900.09
30,CAMPAIGN0030,Campaign 30,Email,2019-09-17,2019-10-17,45637.56
31,CAMPAIGN0031,Campaign 31,TV,2021-09-25,2021-10-25,19706.23
32,CAMPAIGN0032,Campaign 32,TV,2021-04-01,2021-04-11,30484.85
33,CAMPAIGN0033,Campaign 33,Email,2021-09-13,2021-11-04,33987.15
34,CAMPAIGN0034,Campaign 34,Social Media,2021-10-13,2021-11-03,19994.52
35,CAMPAIGN0035,Campaign 35,Social Media,2021-11-14,2021-11-26,7692.29
36,CAMPAIGN0036,Campaign 36,Radio,2021-07-10,2021-08-29,10497.19
37,CAMPAIGN0037,Campaign 37,Email,2022-05-13,2022-06-16,17653.52
38,CAMPAIGN0038,Campaign 38,Social Media,2022-10-12,2022-11-02,7356.14
39,CAMPAIGN0039,Campaign 39,Email,2019-02-20,2019-03-19,38071.91
40,CAMPAIGN0040,Campaign 40,Radio,2020-12-31,2021-01-19,44076.63
41,CAMPAIGN0041,Campaign 41,TV,2021-11-24,2021-12-18,10746.37
42,CAMPAIGN0042,Campaign 42,Radio,2022-07-16,2022-08-31,39852.02
43,CAMPAIGN0043,Campaign 43,Email,2020-08-03,2020-09-07,28412.59
44,CAMPAIGN0044,Campaign 44,Social Media,2022-08-05,2022-08-23,11453.77
45,CAMPAIGN0045,Campaign 45,Social Media,2019-08-26,2019-09-18,8229.12
46,CAMPAIGN0046,Campaign 46,TV,2021-04-30,2021-06-08,37956.35
47,CAMPAIGN0047,Campaign 47,Radio,2022-07-21,2022-08-22,15666.37
48,CAMPAIGN0048,Campaign 48,Radio,2021-05-07,2021-05-31,12146.66
49,CAMPAIGN0049,Campaign 49,TV,2022-03-11,2022-03-31,9480.08
50,CAMPAIGN0050,Campaign 50,Billboard,2020-06-16,2020-07-25,26163.57
51,CAMPAIGN0051,Campaign 51,Billboard,2022-07-29,2022-08-19,44032.9
52,CAMPAIGN0052,Campaign 52,Radio,2020-05-06,2020-06-12,13326.75
53,CAMPAIGN0053,Campaign 53,Billboard,2019-02-10,2019-03-11,18991.58
54,CAMPAIGN0054,Campaign 54,Email,2022-06-16,2022-07-31,16401.27
55,CAMPAIGN0055,Campaign 55,TV,2019-02-20,2019-03-31,17240.12
56,CAMPAIGN0056,Campaign 56,Email,2020-11-09,2020-12-15,26045.45
57,CAMPAIGN0057,Campaign 57,Social Media,2020-06-02,2020-06-29,49848.5
58,CAMPAIGN0058,Campaign 58,Radio,2021-12-01,2021-12-21,33495.4
59,CAMPAIGN0059,Campaign 59,Email,2019-10-11,2019-11-15,46138.73
60,CAMPAIGN0060,Campaign 60,TV,2022-02-27,2022-04-25,20306.4
