inventory_key,product_key,date_key,location_key,stock_level,stock_in,stock_out,created_at
1,109,2023-01-14,3,6,57,51,2025-07-23 23:42:36.218821
2,19,2023-09-27,231,235,406,171,2025-07-23 23:42:36.220056
3,318,2023-02-26,37,29,132,103,2025-07-23 23:42:36.221201
4,823,2023-12-13,118,213,295,82,2025-07-23 23:42:36.222346
5,1360,2022-09-02,11,5,47,42,2025-07-23 23:42:36.223455
6,575,2023-12-23,133,251,326,75,2025-07-23 23:42:36.224548
7,1399,2022-04-26,102,149,455,306,2025-07-23 23:42:36.225671
8,284,2022-09-12,43,76,146,70,2025-07-23 23:42:36.226831
9,1218,2023-08-29,138,16,101,85,2025-07-23 23:42:36.228059
10,1415,2023-01-07,250,212,250,38,2025-07-23 23:42:36.230347
11,1112,2022-09-07,15,7,31,24,2025-07-23 23:42:36.231473
12,1117,2022-07-18,2,27,34,7,2025-07-23 23:42:36.232534
13,498,2024-04-28,11,191,381,190,2025-07-23 23:42:36.233658
14,803,2022-10-02,42,90,248,158,2025-07-23 23:42:36.234783
15,1016,2023-11-08,204,39,414,375,2025-07-23 23:42:36.235883
16,211,2024-10-27,185,252,402,150,2025-07-23 23:42:36.237038
17,681,2024-04-06,119,29,91,62,2025-07-23 23:42:36.238115
18,1078,2023-09-23,60,62,170,108,2025-07-23 23:42:36.239172
19,973,2023-05-21,235,37,187,150,2025-07-23 23:42:36.240245
20,72,2024-08-09,14,227,254,27,2025-07-23 23:42:36.241361
21,106,2023-03-07,205,29,452,423,2025-07-23 23:42:36.242417
22,1048,2023-09-05,206,309,405,96,2025-07-23 23:42:36.243492
23,42,2022-08-22,82,56,390,334,2025-07-23 23:42:36.244572
24,804,2022-12-14,63,78,191,113,2025-07-23 23:42:36.245697
25,29,2023-02-02,225,22,52,30,2025-07-23 23:42:36.246805
26,356,2024-10-05,243,38,320,282,2025-07-23 23:42:36.247859
27,629,2022-12-30,202,260,401,141,2025-07-23 23:42:36.249088
28,1311,2022-01-11,137,68,364,296,2025-07-23 23:42:36.250215
29,620,2024-08-20,134,390,463,73,2025-07-23 23:42:36.251276
30,593,2022-11-02,225,280,354,74,2025-07-23 23:42:36.252350
31,1232,2022-07-30,72,441,494,53,2025-07-23 23:42:36.253432
32,796,2024-06-22,54,19,28,9,2025-07-23 23:42:36.254541
33,19,2023-04-10,189,343,460,117,2025-07-23 23:42:36.255616
34,1418,2023-08-06,130,164,303,139,2025-07-23 23:42:36.257832
35,606,2024-02-20,159,116,470,354,2025-07-23 23:42:36.258946
36,983,2024-04-02,203,43,53,10,2025-07-23 23:42:36.260016
37,1128,2023-04-16,223,90,177,87,2025-07-23 23:42:36.261123
38,156,2023-01-13,204,8,26,18,2025-07-23 23:42:36.262193
39,812,2024-12-18,135,67,74,7,2025-07-23 23:42:36.263285
40,91,2024-07-23,27,123,212,89,2025-07-23 23:42:36.264391
41,531,2024-10-12,105,144,168,24,2025-07-23 23:42:36.265518
42,255,2022-02-01,77,14,421,407,2025-07-23 23:42:36.266560
43,1419,2022-02-19,114,351,358,7,2025-07-23 23:42:36.267656
44,1143,2023-10-01,208,24,75,51,2025-07-23 23:42:36.268750
45,133,2024-12-28,204,95,166,71,2025-07-23 23:42:36.269850
46,977,2024-03-23,5,168,296,128,2025-07-23 23:42:36.270977
47,1085,2023-10-28,22,177,476,299,2025-07-23 23:42:36.272062
48,902,2023-08-12,65,19,87,68,2025-07-23 23:42:36.273138
49,1199,2023-11-28,57,294,310,16,2025-07-23 23:42:36.274223
50,249,2024-11-26,189,43,161,118,2025-07-23 23:42:36.275397
51,155,2023-06-22,133,163,241,78,2025-07-23 23:42:36.276460
52,1067,2024-01-16,75,24,29,5,2025-07-23 23:42:36.277643
53,1459,2024-06-30,161,23,70,47,2025-07-23 23:42:36.278722
54,450,2023-03-23,146,80,145,65,2025-07-23 23:42:36.279989
55,813,2023-05-30,25,243,402,159,2025-07-23 23:42:36.284041
56,112,2022-09-08,11,21,32,11,2025-07-23 23:42:36.285228
57,920,2024-12-13,68,2,394,392,2025-07-23 23:42:36.286341
58,182,2024-11-13,88,37,54,17,2025-07-23 23:42:36.287439
59,54,2022-04-28,79,200,380,180,2025-07-23 23:42:36.288530
60,152,2023-05-12,164,193,237,44,2025-07-23 23:42:36.289670
61,151,2024-08-05,222,0,105,105,2025-07-23 23:42:36.291151
62,261,2023-07-03,161,7,29,22,2025-07-23 23:42:36.292296
63,1253,2023-11-27,1,475,483,8,2025-07-23 23:42:36.293427
64,71,2024-05-27,9,5,193,188,2025-07-23 23:42:36.294543
65,604,2022-03-05,9,187,281,94,2025-07-23 23:42:36.295600
66,1079,2023-02-20,65,387,492,105,2025-07-23 23:42:36.296669
67,1368,2024-04-11,181,11,112,101,2025-07-23 23:42:36.297831
68,689,2023-09-03,133,86,252,166,2025-07-23 23:42:36.298895
69,442,2024-11-12,193,5,257,252,2025-07-23 23:42:36.299961
70,1273,2022-06-10,84,50,323,273,2025-07-23 23:42:36.301075
71,201,2024-05-22,57,86,201,115,2025-07-23 23:42:36.302217
72,739,2023-03-28,244,24,35,11,2025-07-23 23:42:36.303341
73,848,2023-09-11,170,11,100,89,2025-07-23 23:42:36.304426
74,445,2024-11-07,36,197,286,89,2025-07-23 23:42:36.305562
75,558,2023-02-02,73,240,369,129,2025-07-23 23:42:36.306628
76,893,2022-05-22,236,2,11,9,2025-07-23 23:42:36.307721
77,537,2024-10-29,153,115,477,362,2025-07-23 23:42:36.308869
78,1064,2022-01-28,12,389,405,16,2025-07-23 23:42:36.309981
79,16,2024-10-15,59,5,78,73,2025-07-23 23:42:36.311127
80,568,2022-09-14,9,31,349,318,2025-07-23 23:42:36.312209
81,1091,2022-11-07,149,1,68,67,2025-07-23 23:42:36.313325
