sales_key,order_id,customer_key,product_key,campaign_key,date_key,quantity,unit_price,discount_amount,total_amount,location_key,payment_method_id,created_at
1,O-edc575f2,4054,859,112,3/4/2024,4,40.39,28.84,132.72,59,Afterpay,42:24.8
2,O-1038c934,3039,1245,122,8/3/2023,4,47.02,8.3,179.78,164,Visa,42:24.8
3,O-48c16389,1595,1139,14,28/9/2022,5,256.13,289.5,991.15,193,Visa,42:24.8
4,O-07cf125c,2306,901,165,13/5/2023,3,265.63,95.47,701.42,116,Afterpay,42:24.8
5,O-c172bd72,984,644,74,7/11/2024,5,479.71,280.79,2117.76,205,PayPal,42:24.8
6,O-b5aa4335,1079,1166,81,22/2/2024,4,316.13,289.85,974.67,36,MasterCard,42:24.8
7,O-f7af8377,904,589,161,27/1/2024,4,169.75,89.73,589.27,95,Cash,42:24.8
8,O-a255b271,709,1394,161,22/5/2022,3,333,209.64,789.36,68,PayPal,42:24.8
9,O-c77709b4,2498,446,167,28/4/2024,5,447.81,611.68,1627.37,227,Visa,42:24.8
10,O-35fd34cf,34,1115,104,11/8/2022,1,47.86,8.69,39.17,135,PayPal,42:24.8
11,O-68b03fd3,3097,622,124,24/7/2023,4,454.36,80.58,1736.86,59,Cash,42:24.8
12,O-c868b79f,2630,9,135,25/1/2024,4,376.42,234.25,1271.43,66,PayPal,42:24.8
13,O-1cdcb506,1791,985,122,12/11/2024,5,431.89,516.02,1643.43,105,Afterpay,42:24.8
14,O-5502578f,49,339,38,7/2/2024,4,294.9,141.57,1038.03,10,PayPal,42:24.8
15,O-88740f7e,771,821,11,11/6/2022,4,282.68,233.03,897.69,8,Afterpay,42:24.8
16,O-417c8aa1,4881,458,138,5/2/2024,3,480.35,55.61,1385.44,101,Visa,42:24.8
17,O-074f5c92,4943,215,140,12/12/2022,5,151,161.08,593.92,150,Cash,42:24.8
18,O-fa5d02b9,4768,70,36,14/11/2023,1,375.31,110.08,265.23,242,Cash,42:24.8
19,O-bc27b23d,2529,14,174,11/12/2022,1,146.11,12.54,133.57,53,Afterpay,42:24.8
20,O-a8a6edf0,2696,1124,130,7/7/2023,3,127.89,19.21,364.46,167,Visa,42:24.8
21,O-89910e21,650,399,21,17/4/2024,1,255.9,12.19,243.71,101,PayPal,42:24.8
22,O-62a7dcf8,1672,435,56,23/11/2024,1,433.62,111.28,322.34,234,Cash,42:24.8
23,O-321dbb27,3319,945,117,31/12/2024,4,382.92,61.56,1470.12,57,Visa,42:24.8
24,O-ec9fb30e,968,552,65,15/11/2023,4,437.03,493.31,1254.81,132,Visa,42:24.8
25,O-7c0fc7f3,1136,465,187,17/7/2023,2,442.72,145.57,739.87,149,Afterpay,42:24.8
26,O-94eba604,3009,1356,152,22/4/2024,2,245.01,31.52,458.5,167,PayPal,42:24.8
27,O-030cea42,4880,1496,38,9/3/2022,5,423.9,631.32,1488.18,75,MasterCard,42:24.8
28,O-f21f2ed0,3750,619,115,25/9/2023,1,485.22,44.91,440.31,172,Afterpay,42:24.8
29,O-57b1226f,431,1079,79,4/3/2022,5,238.87,157.84,1036.51,233,Visa,42:24.8
30,O-b269b26a,3867,1258,96,24/9/2023,3,481.74,201.88,1243.34,138,Cash,42:24.8
31,O-9c4af38c,179,1333,102,9/1/2022,4,166.6,188.68,477.72,138,PayPal,42:24.8
32,O-604db463,3350,319,73,12/11/2022,3,287.59,247.34,615.43,216,PayPal,42:24.8
33,O-e2695618,4242,832,50,11/10/2024,5,338.46,417.88,1274.42,86,MasterCard,42:24.8
34,O-01c4ec6f,1487,1091,112,9/7/2022,4,31.17,11.2,113.48,174,MasterCard,42:24.8
35,O-017f69ac,3640,883,97,24/2/2022,1,329.21,32.6,296.61,221,Cash,42:24.8
36,O-22ef557a,183,393,78,13/6/2022,2,462.2,237.84,686.56,219,MasterCard,42:24.8
37,O-60a76be8,4359,65,6,9/2/2023,4,258,121.92,910.08,151,PayPal,42:24.8
38,O-8e4c4a46,248,246,22,6/2/2024,4,77.65,18.47,292.13,237,Cash,42:24.8
39,O-a289fb79,3964,450,87,17/10/2022,1,311.14,93.31,217.83,230,PayPal,42:24.8
40,O-6e14579f,1750,50,151,5/12/2022,1,147.11,18.1,129.01,165,Visa,42:24.8
41,O-310616c7,1477,1260,111,22/2/2023,4,320.12,321.68,958.8,71,Visa,42:24.8
42,O-7050dd1b,1458,563,14,23/2/2024,5,293.17,211.9,1253.95,32,MasterCard,42:24.8
43,O-bc3fb9df,4952,249,1,25/9/2024,5,403.68,262.96,1755.44,238,Afterpay,42:24.8
44,O-d8a33ced,2033,1193,16,10/9/2023,4,464.06,282.81,1573.43,213,PayPal,42:24.8
45,O-83c60ac8,1657,71,182,14/5/2024,1,180.85,27.28,153.57,173,Cash,42:24.8
46,O-3e5c3ae2,423,690,5,21/2/2024,4,278.18,263.12,849.6,18,Visa,42:24.8
47,O-7dd0b8d3,116,185,165,31/12/2022,4,367.68,175.26,1295.46,214,Visa,42:24.8
48,O-2aafd0f3,4042,449,6,25/11/2024,1,207.26,45.01,162.25,19,PayPal,42:24.8
49,O-8020edbd,2688,53,94,7/11/2023,4,19.74,15.8,63.16,202,PayPal,42:24.8
50,O-d7befc20,3873,666,119,8/10/2024,3,365.87,215.08,882.53,133,PayPal,42:24.8
51,O-24387fa3,2836,26,85,24/6/2024,4,47.66,31.56,159.08,173,PayPal,42:24.8
