shipment_key,sales_key,warehouse_key,shipment_date,delivery_date,delay_days,shipping_cost,created_at
1,2383,7,2024-10-13,2024-10-18,5,13.83,2025-07-23 23:42:41.209220
2,626,12,2023-03-15,2023-03-15,0,48.92,2025-07-23 23:42:41.210566
3,434,4,2022-10-04,2022-10-09,5,13.06,2025-07-23 23:42:41.212375
4,1326,15,2022-02-18,2022-02-18,0,22.07,2025-07-23 23:42:41.213779
5,4751,8,2023-07-08,2023-07-11,3,39.53,2025-07-23 23:42:41.215182
6,1994,20,2024-07-23,2024-07-27,4,47.89,2025-07-23 23:42:41.216555
7,4702,8,2023-05-06,2023-05-09,3,8.68,2025-07-23 23:42:41.217922
8,2623,3,2022-06-22,2022-06-25,3,45.57,2025-07-23 23:42:41.219274
9,731,12,2024-08-15,2024-08-19,4,18.94,2025-07-23 23:42:41.220627
10,2318,18,2024-06-02,2024-06-05,3,18.28,2025-07-23 23:42:41.222133
11,3273,7,2024-01-12,2024-01-13,1,8.45,2025-07-23 23:42:41.223583
12,4511,9,2023-06-03,2023-06-06,3,12.21,2025-07-23 23:42:41.224986
13,3815,19,2024-09-05,2024-09-06,1,20.72,2025-07-23 23:42:41.226401
14,3022,9,2024-03-06,2024-03-11,5,11.16,2025-07-23 23:42:41.227790
15,3994,14,2023-03-11,2023-03-11,0,46.14,2025-07-23 23:42:41.229218
16,1348,4,2022-07-08,2022-07-10,2,21.84,2025-07-23 23:42:41.230599
17,3273,7,2024-01-14,2024-01-15,1,5.86,2025-07-23 23:42:41.232001
18,1915,10,2022-11-21,2022-11-24,3,6.16,2025-07-23 23:42:41.233400
19,2272,2,2023-09-26,2023-09-30,4,41.45,2025-07-23 23:42:41.234788
20,4475,20,2022-02-06,2022-02-10,4,9.51,2025-07-23 23:42:41.236171
21,3148,9,2022-11-06,2022-11-06,0,47.01,2025-07-23 23:42:41.237544
22,1205,19,2024-12-17,2024-12-18,1,12.21,2025-07-23 23:42:41.238953
23,607,13,2023-03-09,2023-03-12,3,11.56,2025-07-23 23:42:41.240331
24,2298,12,2022-04-27,2022-05-02,5,40.93,2025-07-23 23:42:41.241698
25,3111,5,2023-12-29,2024-01-03,5,28.35,2025-07-23 23:42:41.243103
26,2309,8,2024-08-17,2024-08-22,5,42.77,2025-07-23 23:42:41.244469
27,2143,18,2023-01-19,2023-01-23,4,42.33,2025-07-23 23:42:41.245865
28,2423,3,2022-11-17,2022-11-19,2,47.35,2025-07-23 23:42:41.247254
29,4002,8,2024-01-17,2024-01-19,2,38.95,2025-07-23 23:42:41.248961
30,2320,4,2023-05-29,2023-05-30,1,27.28,2025-07-23 23:42:41.250414
31,976,20,2023-07-15,2023-07-15,0,38.75,2025-07-23 23:42:41.251810
32,3888,10,2022-10-12,2022-10-17,5,19.27,2025-07-23 23:42:41.253213
33,2119,12,2023-03-16,2023-03-16,0,41.96,2025-07-23 23:42:41.254605
34,1673,5,2023-03-16,2023-03-20,4,42.28,2025-07-23 23:42:41.256352
35,4929,2,2022-06-16,2022-06-21,5,19.09,2025-07-23 23:42:41.257707
36,2580,13,2024-04-17,2024-04-22,5,8.77,2025-07-23 23:42:41.259050
37,3353,13,2024-04-22,2024-04-27,5,7.6,2025-07-23 23:42:41.260462
38,711,1,2022-07-29,2022-07-30,1,20.08,2025-07-23 23:42:41.261794
39,591,14,2023-03-27,2023-03-31,4,15.77,2025-07-23 23:42:41.263353
40,2847,9,2024-06-21,2024-06-23,2,29.96,2025-07-23 23:42:41.265052
41,2483,8,2024-02-18,2024-02-19,1,24.43,2025-07-23 23:42:41.266525
42,4554,16,2022-04-05,2022-04-10,5,14.75,2025-07-23 23:42:41.268053
43,2650,3,2022-07-26,2022-07-29,3,41.88,2025-07-23 23:42:41.270381
44,4446,1,2024-01-24,2024-01-26,2,21.53,2025-07-23 23:42:41.272315
45,2754,18,2023-05-31,2023-06-05,5,48.08,2025-07-23 23:42:41.273901
46,300,10,2022-03-12,2022-03-12,0,42.14,2025-07-23 23:42:41.275446
47,4609,6,2022-12-07,2022-12-11,4,22.26,2025-07-23 23:42:41.276954
48,3408,19,2024-09-13,2024-09-15,2,47.5,2025-07-23 23:42:41.278521
49,4844,19,2023-02-17,2023-02-20,3,6.08,2025-07-23 23:42:41.280055
50,4111,5,2022-09-05,2022-09-05,0,22.83,2025-07-23 23:42:41.281644
51,235,10,2023-09-17,2023-09-18,1,48.01,2025-07-23 23:42:41.283190
52,701,3,2022-01-19,2022-01-21,2,27.86,2025-07-23 23:42:41.284722
53,1732,8,2022-07-10,2022-07-10,0,22.42,2025-07-23 23:42:41.286295
54,570,2,2024-09-10,2024-09-15,5,33.59,2025-07-23 23:42:41.287878
55,4922,1,2024-07-01,2024-07-05,4,18.06,2025-07-23 23:42:41.289489
56,1519,12,2024-04-22,2024-04-23,1,5.04,2025-07-23 23:42:41.291021
57,4441,16,2024-08-22,2024-08-22,0,17.74,2025-07-23 23:42:41.292633
58,2537,7,2024-07-26,2024-07-26,0,20.39,2025-07-23 23:42:41.294153
59,102,19,2023-04-08,2023-04-09,1,5.15,2025-07-23 23:42:41.295690
60,3703,12,2024-05-08,2024-05-13,5,27.63,2025-07-23 23:42:41.297201
61,3042,3,2023-01-28,2023-02-01,4,19.34,2025-07-23 23:42:41.298829
62,4912,14,2024-01-30,2024-02-04,5,29.0,2025-07-23 23:42:41.300370
63,2984,13,2022-01-02,2022-01-02,0,13.7,2025-07-23 23:42:41.301914
