web_activity_key,customer_key,date_key,session_id,page_views,duration_seconds,converted,created_at
1,985,2022-10-15,539ebac5-373c-4123-b854-a354238d1b35,11,284,0,2025-07-23 23:42:39.115356
2,4248,2023-01-09,de2ad7d1-f2f9-4f08-b61d-f76dc048651b,7,713,1,2025-07-23 23:42:39.116419
3,2748,2022-08-27,18d0cc86-b7a8-4f57-9288-f674395e08a0,11,605,0,2025-07-23 23:42:39.117358
4,529,2024-10-25,e70158f9-7b37-414d-9059-4ce2d0223876,5,457,0,2025-07-23 23:42:39.118195
5,472,2024-12-11,eff188a6-b97f-493f-bd3b-d0a8b323d688,5,37,1,2025-07-23 23:42:39.119067
6,1014,2023-09-22,1772fce2-5f16-4e47-afd6-655fddf03b59,5,745,0,2025-07-23 23:42:39.119894
7,1329,2023-04-12,9925ae98-ed28-4779-95b2-aea8f00e92c4,12,273,0,2025-07-23 23:42:39.120683
8,2061,2023-12-22,3557da83-0322-4289-b226-340119fb32ef,9,92,0,2025-07-23 23:42:39.121484
9,3464,2022-10-31,7e07649f-f18d-409b-9f4a-b10d286a6c7f,2,344,1,2025-07-23 23:42:39.122300
10,4816,2023-10-14,f6c5ab71-b666-4437-aa33-933fed5856ba,12,156,1,2025-07-23 23:42:39.123121
11,49,2022-01-24,29835417-c85b-4b0e-868a-1fa50bc360f3,7,337,0,2025-07-23 23:42:39.123929
12,1114,2022-08-04,648bab3c-746f-49fd-b43a-0a9b551bad23,8,528,0,2025-07-23 23:42:39.124667
13,529,2024-02-24,38275329-66b2-441a-9bb2-cb1a889e0beb,13,666,1,2025-07-23 23:42:39.125464
14,4068,2024-08-29,aa796ebc-f391-4346-bea8-4de826a91ba8,12,841,0,2025-07-23 23:42:39.126254
15,4954,2024-04-01,1c3a012c-548d-4d99-945b-3e9c69f13dea,10,525,0,2025-07-23 23:42:39.127053
16,799,2024-08-16,cf3b4615-0980-4cf9-97db-22487ce2b4a6,1,553,1,2025-07-23 23:42:39.127832
17,2735,2024-06-13,0e0ec7cf-d1b1-4496-b6c7-40624ae433e8,11,132,0,2025-07-23 23:42:39.128586
18,634,2023-05-26,e41c67fc-9065-4698-9b29-0c8d98f1734b,8,108,1,2025-07-23 23:42:39.129393
19,721,2024-02-23,c4044421-7ee7-4d2d-b02d-75fc85670667,2,731,1,2025-07-23 23:42:39.130211
20,3417,2023-01-08,16a139cc-8901-47d7-a71d-ec93ab2e2a5c,6,727,1,2025-07-23 23:42:39.130988
21,4171,2024-09-02,9d019b25-7f5a-4807-bd29-1ecfa0819af5,7,822,0,2025-07-23 23:42:39.131733
22,4691,2023-07-29,7f2f7217-c439-432c-b32e-ec8a9a0e263c,1,86,1,2025-07-23 23:42:39.132505
23,4303,2022-06-30,8e6868ec-042d-4d03-aeb3-e6af2b6f3d54,9,837,1,2025-07-23 23:42:39.133295
24,312,2024-03-10,7c209c10-f652-471b-9da4-38da1b095770,10,674,1,2025-07-23 23:42:39.134065
25,4888,2024-10-04,b39cac6a-60e7-4e0e-a7d3-7c5b93393bd8,8,865,1,2025-07-23 23:42:39.134823
26,3896,2023-08-10,b03c87da-96d9-4e4a-a02c-2bae7274c8f7,1,360,1,2025-07-23 23:42:39.135720
27,437,2022-12-09,974714c7-7173-4960-b2a9-e0a98a2028e4,5,752,1,2025-07-23 23:42:39.136528
28,1775,2022-05-14,51bb2a7e-dd62-42f4-b087-57a82473ddf4,5,454,1,2025-07-23 23:42:39.137468
29,4463,2024-04-26,5146a9a8-78a4-42d7-9438-03cf6dffa8ef,8,667,1,2025-07-23 23:42:39.138315
30,4726,2022-06-18,0c79854e-0281-4ed8-938f-03bc9d3c4cf9,6,503,0,2025-07-23 23:42:39.139123
31,2167,2024-09-10,cc20a452-9997-4dcc-b6f3-8bbc66aa3f28,1,692,0,2025-07-23 23:42:39.139914
32,3194,2022-06-17,0c8a2aed-08c8-4db0-87f7-1a1a67497ff9,13,139,1,2025-07-23 23:42:39.140670
33,2800,2024-01-25,c03407bc-eccf-4bb9-9156-0ca985f9846b,13,410,1,2025-07-23 23:42:39.141605
34,4701,2022-10-18,c49c464d-4d00-4f5c-919d-188e5c726955,14,341,1,2025-07-23 23:42:39.142454
35,360,2024-07-23,de915572-63d2-4a66-b452-c6b42c5c6a4a,12,151,0,2025-07-23 23:42:39.143239
36,659,2024-12-16,e149014d-fd33-44a9-b098-7669d5d7fc5d,2,373,0,2025-07-23 23:42:39.144061
37,4951,2024-08-18,635b55a6-fab9-4673-a622-520ca2b1da6b,2,43,0,2025-07-23 23:42:39.144835
38,844,2022-12-19,6cb318ac-bc6d-43c6-a673-bac8102ae485,5,205,1,2025-07-23 23:42:39.145590
39,3268,2023-02-21,cb829c30-e913-4d2c-a27c-fcec977f1465,11,67,1,2025-07-23 23:42:39.146376
40,2428,2024-07-04,97137cd7-cbaa-4ad1-bc83-85a8ba66484e,10,105,1,2025-07-23 23:42:39.147185
41,4166,2022-09-20,a922d95d-becb-4e70-b889-5ceb75dbbc1c,6,243,1,2025-07-23 23:42:39.147969
42,1539,2022-08-18,da437d71-0419-4a09-a846-ea858395b390,6,215,1,2025-07-23 23:42:39.148738
43,3435,2022-05-30,5f8e1b7e-55ad-4294-a656-ed4c0203fbf1,3,58,0,2025-07-23 23:42:39.149493
44,1210,2024-03-31,4f587d61-c85e-48a5-b5ca-a8f8c5088688,9,477,0,2025-07-23 23:42:39.150293
45,4946,2024-08-19,0944ea6d-74e9-4d78-849c-5d5900281c81,14,771,0,2025-07-23 23:42:39.151076
46,655,2023-11-26,3a8f1aa2-f171-4b6c-9db6-59a94a68eeeb,1,288,0,2025-07-23 23:42:39.151878
47,2710,2023-11-19,2d1fa727-822c-41f4-acf3-551afe0ee5f5,14,748,1,2025-07-23 23:42:39.152633
48,3044,2023-01-21,2f30db2c-4341-4561-8b53-4542ff74a935,6,291,1,2025-07-23 23:42:39.153427
49,4728,2022-03-31,b987c14e-e845-4bab-aa23-b289f5b0a02e,12,178,0,2025-07-23 23:42:39.154263
50,3015,2024-06-10,dc4cd0ac-3659-46ab-aa69-c5b42b4a2a44,13,71,0,2025-07-23 23:42:39.155174
51,3070,2022-01-06,97aa8b0e-8e85-49a2-bf53-272f82b17665,1,240,1,2025-07-23 23:42:39.155992
52,3625,2024-12-01,9d7a6d0a-5d8f-4b95-b563-1060191cafa2,6,857,1,2025-07-23 23:42:39.156770
53,1368,2023-08-07,19f6ab5b-8547-4ad7-abfe-94386c51a6ce,3,38,0,2025-07-23 23:42:39.157537
54,3666,2022-08-26,6a217dfb-7dae-46e4-85fc-5bc30b3cec24,4,801,1,2025-07-23 23:42:39.158346
55,4360,2024-10-25,13e04a10-030b-4fcc-928b-381ea5776063,13,224,1,2025-07-23 23:42:39.159160
56,1412,2024-11-28,e51d0dd2-dba2-4239-80d2-5d2a494d90b6,3,853,1,2025-07-23 23:42:39.159946
57,363,2024-04-05,ace70ea5-0ce9-4b46-89b1-c69321937101,15,394,0,2025-07-23 23:42:39.160713
58,2672,2024-11-23,9adf60ad-0c2c-4efe-8e69-00f0a3f51bff,4,585,0,2025-07-23 23:42:39.161489
59,4857,2022-09-08,74b0e0eb-13eb-4f33-9f9d-0581f904fc8c,3,666,0,2025-07-23 23:42:39.162436
60,3134,2024-10-31,3cc7bfc1-7ea0-41ac-96e6-dd4bba6a3a64,12,602,0,2025-07-23 23:42:39.163272
61,2760,2023-08-22,052a1f9d-fdfa-4bdf-8a47-4a177ac119b6,12,698,0,2025-07-23 23:42:39.164070
62,3758,2023-03-29,65ff9e52-5747-46db-9135-a4b8af667929,13,457,0,2025-07-23 23:42:39.164849
63,319,2024-02-06,927c1a12-4499-4222-9752-9abd4b8cf182,7,741,1,2025-07-23 23:42:39.165614
64,4152,2023-11-07,a8b36e71-9cfb-4c3a-94f2-8bd2eabb1419,5,463,1,2025-07-23 23:42:39.166425
65,1611,2024-11-18,c4937485-ab0a-4f7b-9d3a-c188a116397a,14,674,0,2025-07-23 23:42:39.167224
66,1955,2023-07-19,7bed9315-8a90-4858-a721-a03d0da26759,10,611,0,2025-07-23 23:42:39.168019
67,4386,2023-07-19,4ca715cc-c387-4d10-b370-862bb687b262,12,437,1,2025-07-23 23:42:39.168815
68,825,2022-06-24,d0cbb2b4-4988-4535-9733-5b609755c9ce,4,621,0,2025-07-23 23:42:39.169581
69,2833,2024-09-02,944b347f-7b44-4407-b5d0-79fe5412c14d,7,66,1,2025-07-23 23:42:39.170392
70,916,2022-10-05,3a869fd4-9450-4c73-93c8-e9a36b104852,4,203,1,2025-07-23 23:42:39.171192
71,749,2024-07-29,c7f71040-59bd-466a-9dfc-c895bfe86f2e,13,395,0,2025-07-23 23:42:39.171973
72,2887,2024-10-17,b5cb71c2-941e-4f49-a271-5821b5def8f9,10,357,1,2025-07-23 23:42:39.172734
73,4929,2023-03-09,512451c3-1108-4f26-a9a1-20d1ac5266b5,5,694,0,2025-07-23 23:42:39.173496
